task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	9f/f69dc1	3912175	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (36)	CACHED	0	2024-10-19 07:56:50.741	3.4s	2.8s	128.4%	124.6 MB	129.6 MB	183.1 MB	139.3 MB
55	ee/e391df	3911167	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (34)	CACHED	0	2024-10-19 07:56:48.902	3.1s	2.7s	130.6%	124.9 MB	130.3 MB	183.3 MB	139.4 MB
51	2d/02a38e	3908591	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (30)	CACHED	0	2024-10-19 07:56:43.869	3.7s	3.4s	108.7%	125 MB	129.9 MB	183.2 MB	139.4 MB
66	7e/c30c5b	3909336	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (45)	CACHED	0	2024-10-19 07:56:44.810	4.1s	3.5s	103.2%	9.3 MB	16.7 MB	183.1 MB	139.3 MB
72	29/a77946	3917168	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (51)	CACHED	0	2024-10-19 07:57:00.586	4.1s	3.7s	97.8%	125 MB	130.1 MB	183.1 MB	139.3 MB
68	c7/b74797	3915199	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (47)	CACHED	0	2024-10-19 07:56:56.993	3.2s	2.7s	132.9%	124.6 MB	129.9 MB	183 MB	139.2 MB
80	bc/e7b096	3920688	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (59)	CACHED	0	2024-10-19 07:57:07.788	3s	2.7s	132.8%	118.3 MB	123.6 MB	183.1 MB	139.3 MB
69	c1/787ac1	3915345	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (48)	CACHED	0	2024-10-19 07:56:57.282	3.3s	2.9s	125.0%	7.9 MB	15.1 MB	183.2 MB	139.4 MB
78	30/2d28ad	3918877	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (57)	CACHED	0	2024-10-19 07:57:04.436	3.3s	2.7s	131.2%	94.3 MB	99.4 MB	183.2 MB	139.4 MB
82	d6/420722	3921272	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (61)	CACHED	0	2024-10-19 07:57:08.751	3.2s	2.7s	131.4%	105.7 MB	110.8 MB	183.3 MB	139.4 MB
67	bf/3598df	3914740	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (46)	CACHED	0	2024-10-19 07:56:55.993	3.3s	2.9s	122.0%	124.3 MB	129.7 MB	182.9 MB	139.2 MB
71	8e/6e066d	3916119	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (50)	CACHED	0	2024-10-19 07:56:58.778	3.4s	2.7s	128.1%	61.4 MB	66.7 MB	183 MB	139.3 MB
74	f2/66d33b	3917414	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (53)	CACHED	0	2024-10-19 07:57:00.942	3.5s	2.7s	127.9%	125 MB	130.3 MB	183.2 MB	139.4 MB
70	88/ba1b62	3916558	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (49)	CACHED	0	2024-10-19 07:56:59.332	3.1s	2.7s	131.5%	62.5 MB	67.8 MB	183.1 MB	139.3 MB
73	1e/a26160	3916944	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (52)	CACHED	0	2024-10-19 07:57:00.198	4.3s	3.9s	94.6%	124.6 MB	129.8 MB	183.2 MB	139.4 MB
75	66/e35c19	3919012	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (54)	CACHED	0	2024-10-19 07:57:04.701	3.6s	3.2s	115.4%	7.1 MB	15 MB	183.2 MB	139.4 MB
