sample,LMC1,LMC2,tool,V1,V2,min_cpgs,min_counts
20M_mix_Bmap_CLBGA_0-3_rep20,0.002609103580016,0.997390896419984,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep21,0.0036205289843554,0.996379471015645,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep22,0.0021125589527777,0.997887441047222,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep23,0.0028412161637518,0.997158783836248,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep24,0.0027578332494612,0.997242166750539,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep25,0.0036633865984795,0.996336613401521,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep26,0.0022548634483975,0.997745136551602,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep27,0.0021119852488893,0.997888014751111,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep28,0.0037059368709666,0.996294063129033,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep29,0.0024646014204317,0.997535398579568,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep3,0.0023284939416822,0.997671506058318,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep30,0.0025251416349546,0.997474858365045,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep31,0.0036317881114304,0.996368211888569,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep32,0.0015770963005989,0.998422903699401,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep33,0.0023534907869969,0.997646509213003,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep34,0.0029006758648974,0.997099324135102,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep35,0.0017745374738917,0.998225462526108,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep36,0.0026472093204843,0.997352790679516,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep37,0.0028896344175364,0.997110365582464,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep38,0.0032404072939032,0.996759592706097,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep39,0.003213596884497,0.996786403115503,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep4,0.0030624834000428,0.996937516599957,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep40,0.003734436307832,0.996265563692168,MeDeCom,,,3,10
